COD,"Annual deployment, MW","Cumulative deployment, MW"
2022,0.0,0.0
2023,513.2307692307693,513.2307692307693
2024,4289.353587588882,4802.5843568196515
2025,3785.1538461538457,8587.738202973498
2026,3474.0,12061.738202973498
2027,2904.6,14966.338202973498
2028,6126.169049873698,21092.507252847197
2029,3294.1912889446967,24386.698541791895
2030,5729.128979120121,30115.827520912015
2031,5745.715999316145,35861.54352022816
2032,6411.002357388608,42272.545877616765
2033,7166.883957014824,49439.42983463159
2034,4941.491620651574,54380.92145528317
2035,5424.0,59804.92145528317
